County	2020 Total Population	2020 LBSW Total	Ratio of 2020 Population to LBSW	Ratio of LBSWs to 100,000 Population	Rank
Anderson	58,199	14	4,157.1	24.1	62
Andrews	22,269	1	22,269.0	4.5	194
Angelina	90,437	58	1,559.3	64.1	10
Aransas	27,699	4	6,924.8	14.4	115
Archer	8,344	6	1,390.7	71.9	6
Armstrong	1,948	1	1,948.0	51.3	16
Atascosa	51,831	2	25,915.5	3.9	197
Austin	30,402	1	30,402.0	3.3	200
Bailey	7,692	0	-	0.0	-
Bandera	21,246	0	-	0.0	-
Bastrop	86,105	8	10,763.1	9.3	163
Baylor	3,624	1	3,624.0	27.6	51
Bee	34,445	5	6,889.0	14.5	113
Bell	353,629	70	5,051.8	19.8	82
Bexar	2,093,502	181	11,566.3	8.6	168
Blanco	11,504	1	11,504.0	8.7	167
Borden	685	0	-	0.0	-
Bosque	17,765	4	4,441.3	22.5	72
Bowie	92,570	14	6,612.1	15.1	109
Brazoria	375,869	31	12,124.8	8.2	174
Brazos	229,410	27	8,496.7	11.8	139
Brewster	9,133	1	9,133.0	10.9	147
Briscoe	1,568	0	-	0.0	-
Brooks	7,175	0	-	0.0	-
Brown	38,923	21	1,853.5	54.0	13
Burleson	17,718	0	-	0.0	-
Burnet	48,196	4	12,049.0	8.3	173
Caldwell	44,284	3	14,761.3	6.8	184
Calhoun	22,840	1	22,840.0	4.4	195
Callahan	13,456	3	4,485.3	22.3	74
Cameron	427,881	77	5,556.9	18.0	92
Camp	13,322	2	6,661.0	15.0	111
Carson	5,799	2	2,899.5	34.5	34
Cass	30,327	4	7,581.8	13.2	127
Castro	7,103	2	3,551.5	28.2	50
Chambers	42,320	1	42,320.0	2.4	201
Cherokee	52,178	35	1,490.8	67.1	8
Childress	7,062	1	7,062.0	14.2	119
Clay	9,787	2	4,893.5	20.4	81
Cochran	3,348	1	3,348.0	29.9	45
Coke	3,215	1	3,215.0	31.1	41
Coleman	8,478	2	4,239.0	23.6	65
Collin	1,039,369	79	13,156.6	7.6	180
Collingsworth	3,210	0	-	0.0	-
Colorado	21,273	2	10,636.5	9.4	162
Comal	147,330	16	9,208.1	10.9	150
Comanche	13,075	9	1,452.8	68.8	7
Concho	4,147	0	-	0.0	-
Cooke	39,727	15	2,648.5	37.8	30
Coryell	78,317	11	7,119.7	14.0	120
Cottle	1,510	0	-	0.0	-
Crane	6,209	0	-	0.0	-
Crockett	4,040	0	-	0.0	-
Crosby	6,464	3	2,154.7	46.4	21
Culberson	2,245	0	-	0.0	-
Dallam	7,237	1	7,237.0	13.8	122
Dallas	2,734,111	307	8,905.9	11.2	145
Dawson	13,592	3	4,530.7	22.1	76
De Witt	21,737	1	21,737.0	4.6	192
Deaf Smith	18,143	8	2,267.9	44.1	26
Delta	5,367	0	-	0.0	-
Denton	897,953	89	10,089.4	9.9	158
Dickens	2,174	1	2,174.0	46.0	22
Dimmit	11,743	1	11,743.0	8.5	169
Donley	3,410	2	1,705.0	58.7	12
Duval	11,796	1	11,796.0	8.5	170
Eastland	18,205	7	2,600.7	38.5	28
Ector	184,841	23	8,036.6	12.4	132
Edwards	1,991	0	-	0.0	-
El Paso	876,120	141	6,213.6	16.1	104
Ellis	177,721	16	11,107.6	9.0	165
Erath	41,526	6	6,921.0	14.4	114
Falls	16,603	2	8,301.5	12.0	136
Fannin	34,597	12	2,883.1	34.7	33
Fayette	26,086	6	4,347.7	23.0	68
Fisher	3,985	0	-	0.0	-
Floyd	5,786	1	5,786.0	17.3	97
Foard	1,240	2	620.0	161.3	1
Fort Bend	840,383	46	18,269.2	5.5	189
Franklin	10,924	1	10,924.0	9.2	164
Freestone	19,860	0	-	0.0	-
Frio	20,023	0	-	0.0	-
Gaines	22,121	1	22,121.0	4.5	193
Galveston	355,196	42	8,457.0	11.8	138
Garza	6,784	1	6,784.0	14.7	112
Gillespie	26,191	2	13,095.5	7.6	179
Glasscock	1,365	0	-	0.0	-
